Hotel_Name,Property Description,Hotel Website,Country,Address,Hotel star rating,Ocean View,City View,Family Rooms,Smoking Rooms Available,Non-Smoking Rooms Available,Suites,Free Parking,Free Internet,Pool,Fitness Centre/Gym,Bar/Lounge,Play Area,Pets Allowed,Cab Services
Hotel Arena,"Hotel Arena is a modern and stylish hotel located in Amsterdam, Netherlands. Situated in a historic building that was formerly a chapel and concert hall, the hotel seamlessly blends contemporary design with its rich architectural heritage.",https://www.hotelarena.nl/,Netherlands,"'s-Gravesandestraat 51, 1092 AA Amsterdam",4,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
K K Hotel George,"K+K Hotel George is an elegant hotel offering modern rooms, a fitness center, and a relaxed bar. It is located in a prime location, just a short walk from Earl's Court Exhibition Centre and Kensington Gardens. The hotel features stylish and comfortable rooms designed with contemporary amenities. Guests can enjoy a workout at the fitness center or unwind at the cozy bar. With its convenient location and excellent facilities, K+K Hotel George provides a comfortable stay for both business and leisure travelers.",https://www.kkhotels.com/george/,United Kingdom,"1-15 Templeton Place, Earl's Court, London SW5 9NB",4,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
Apex Temple Court Hotel,"Apex Temple Court Hotel is a stylish hotel located in London's legal district. It offers contemporary rooms with luxurious amenities, a fitness center, and an on-site restaurant serving delicious cuisine. The hotel's central location provides easy access to popular attractions such as St. Paul's Cathedral and the River Thames. Whether you're traveling for business or leisure, Apex Temple Court Hotel offers a comfortable and convenient stay in the heart of London.",https://www.apexhotels.co.uk/apex-temple-court-hotel,United Kingdom,"1-2 Serjeant's Inn, Fleet Street, London EC4Y 1LL",4,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
The Park Grand London Paddington,"The Park Grand London Paddington is a modern hotel situated in the vibrant Paddington area. It features comfortable rooms with contemporary decor and a range of amenities. Guests can enjoy a delicious meal at the on-site restaurant or relax with a drink at the bar. The hotel's convenient location offers easy access to Paddington Station, making it an ideal base for exploring London's attractions. Whether you're visiting for business or leisure, The Park Grand London Paddington provides a comfortable and stylish stay.",https://www.parkgrandlondon.co.uk/park-grand-london-paddington/,United Kingdom,"1-2 Queens Gardens, Bayswater, London W2 3BA",4,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
Monhotel Lounge SPA,"Monhotel Lounge SPA is a boutique hotel nestled in the heart of Paris. It offers individually designed rooms with unique decor and a cozy lounge area. Guests can indulge in relaxation at the on-site spa, which features a range of rejuvenating treatments. The hotel's prime location provides easy access to popular attractions such as the Champs-Élysées and the Louvre Museum. With its intimate ambiance and attentive service, Monhotel Lounge SPA ensures a memorable stay in the romantic city of Paris.",Not available,France,"1-3 Rue d'Argentine, 75016 Paris",4,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Kube Hotel Ice Bar,"Kube Hotel Ice Bar is a unique hotel offering a cool and contemporary experience in Paris. The hotel features sleek and modern rooms, each designed with stylish amenities and decor. One of the highlights of the hotel is its ice bar, where guests can enjoy a refreshing drink in a unique icy setting. With its trendy atmosphere and convenient location, Kube Hotel Ice Bar provides a memorable and unforgettable stay in the vibrant city of Paris.",https://www.kubehotel.com/,France,"1-5 Passage Ruelle, 75018 Paris",4,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
The Principal London,"The Principal London is a luxury hotel located in the heart of London. It offers stylish and elegant rooms, a fitness center, and multiple dining options. The hotel showcases a blend of classic architecture and contemporary design. With its central location and sophisticated ambiance, The Principal London provides a luxurious stay for discerning travelers.",https://www.phcompany.com/principal/london/principal-london/,United Kingdom,"1-8 Russell Square, Bloomsbury, London WC1B 5BE",4,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
Park Plaza County Hall London,"Park Plaza County Hall London is a modern hotel situated near the iconic London Eye. It features spacious and comfortable rooms, a fitness center, and a stylish restaurant. The hotel's prime location offers breathtaking views of the city skyline and convenient access to popular attractions. Whether you're visiting for business or leisure, Park Plaza County Hall London offers a contemporary and enjoyable stay.",https://www.parkplaza.com/london-hotel-gb-se1-7ry/gbcounty,United Kingdom,"1 Addington Street, Lambeth, London SE1 7RY",4,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
One Aldwych,"One Aldwych is a luxury hotel located in Covent Garden. It offers elegant rooms, a health club, and an on-site restaurant serving innovative cuisine. The hotel's central location provides easy access to theaters, shopping, and dining options. Guests can enjoy personalized service and a memorable stay in the heart of London at One Aldwych.",https://www.onealdwych.com/,United Kingdom,"1 Aldwych, London WC2B 4BZ",5,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
Splendid Etoile,"Splendid Etoile is a boutique hotel situated near the Arc de Triomphe in Paris. It features tastefully decorated rooms with modern amenities and a charming breakfast room overlooking the city. The hotel's prime location offers convenient access to popular attractions and shopping districts. With its intimate atmosphere and attentive service, Splendid Etoile provides a delightful stay in the romantic city of Paris.",https://www.splendidetoile.com/,France,"1 Avenue Carnot, 75017 Paris",4,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
